PSRJ,RAJD,RAJD_ERR,DECJD,DECJD_ERR,DM,P0,W50,astrometry_err,racsmatch
J1349-6130,207.4025833333333,0.0007499999999999,-61.50475555555556,4.1666666666666665e-05,283.87,0.2593647641018986,5.3,0.0007511565157215646,
J1350-5115,207.56732916666664,8.333333333333332e-06,-51.25682222222222,8.333333333333334e-06,90.388,0.2956997063461881,4.0,1.1785113019775792e-05,RACS_1332-50A_1840
J1350-6225,207.6852083333333,4.1666666666666665e-05,-62.42883333333333,2.777777777777778e-05,,0.1381577782127541,,5.007710104811096e-05,
J1352-6803,208.14354166666664,0.0001666666666666,-68.06030555555556,0.0001111111111111,214.6,0.62890254638,28.0,0.00020030840419238224,
J1354+2454,208.51666666666665,0.0,24.901666666666664,0.0,20.0,6.27,,0.0,
J1355-5153,208.99455,8.333333333333332e-06,-51.898319444444446,5.555555555555556e-06,112.1,0.6443045081669496,5.0,1.0015420209622191e-05,RACS_1409-50A_5809
J1355-5747,208.9039583333333,0.0006249999999999,-57.7875,0.0008333333333333,229.0,2.0386738254187837,29.0,0.0010416666666665801,
J1355-5925,208.99629166666665,0.0002083333333333,-59.416916666666665,8.333333333333333e-05,354.8,1.21338122674,20.0,0.00022438186696390673,
J1355-6206,208.83891666666665,0.00025,-62.105583333333335,0.0001388888888888,547.0,0.27660304315,22.0,0.00028598972613848463,
J1356-5521,209.2106583333333,2.0833333333333333e-05,-55.3536,1.388888888888889e-05,174.172,0.507379566696,16.0,2.503855052405548e-05,RACS_1345-56A_2934
J1357-6429,209.260125,8.333333333333333e-05,-64.49172222222222,2.777777777777778e-05,128.5,0.1661083275067481,16.0,8.784104611578831e-05,
J1359-6038,209.9927,4.166666666666666e-06,-60.63543055555556,2.777777777777778e-06,293.736,0.1275084662166598,2.7,5.007710104811096e-06,RACS_1404-62A_4682
J1400-1431,210.15417821144425,5.624533845443032e-07,-14.529738892994729,1.7175416999714871e-06,4.932258,0.0030842332603919,0.22,1.807291703330231e-06,
J1400-6325,210.190375,0.0004166666666666,-63.4285,0.0001944444444444,563.0,0.0311816011,,0.00045980403770122215,RACS_1404-62A_4560
J1401-6357,210.46854166666665,4.1666666666666665e-05,-63.961666666666666,2.777777777777778e-05,98.0,0.8428053217935702,9.1,5.007710104811096e-05,RACS_1404-62A_4468
J1403-6310,210.8083333333333,0.0008333333333333,-63.174166666666665,0.0002777777777777,305.0,0.39917017693,17.0,0.0008784104611578269,
J1403-7646,210.7670833333333,0.0008333333333333,-76.78263888888888,0.0001666666666666,100.6,1.306197812,17.0,0.0008498365855987518,
J1404+1159,211.1541125,3.333333333333333e-05,11.987777777777778,5.555555555555556e-05,18.499,2.65043929892,34.0,6.478835438717e-05,
J1405-4656,211.33927291666663,3.3333333333333333e-06,-46.933975,2.777777777777778e-06,13.884,0.00760220343251,,4.3390275977259194e-06,
J1405-5641,211.30170833333327,0.0001666666666666,-56.69005555555555,0.0001944444444444,273.0,0.6175746851424614,4.8,0.00025609845714694753,
J1406-4233,211.51995833333328,0.000125,-42.55572222222222,8.333333333333333e-05,79.7,2.4367954315909017,45.0,0.0001502313031443329,
